line_no,frame_index,event,rnti,lcid,source_node,target_node,request_id,sn,fi,size,harq_id,bwp_id,layer,vr_ur,vr_uh,timestamp,area_id,upload_type,plan_index,pkt_id,matched
4577,3,TX,5,5,5,1,159,9,0,2083,14,0,0,,,000066,,leader_to_rsu,159,159,1
4618,3,RX,17,5,14,17,138,12,3,4069,,,,,,000066,,member_to_leader,138,138,1
4621,3,TX,19,5,19,1,161,10,0,2083,15,0,0,,,000066,,leader_to_rsu,161,161,1
4698,3,RX,1,5,19,1,160,9,0,2083,,,,,,000066,,leader_to_rsu,160,160,1
4800,3,TX,5,5,5,1,170,10,0,2083,15,0,0,,,000066,,leader_to_rsu,170,170,1
4801,3,TX,19,5,19,1,175,11,0,2083,0,0,0,,,000066,,leader_to_rsu,175,175,1
4844,3,TX,3,5,3,1,176,11,0,2083,15,0,0,,,000066,,leader_to_rsu,176,176,1
4845,3,TX,16,5,16,1,182,11,0,2083,14,0,0,,,000066,,leader_to_rsu,182,182,1
4846,3,TX,14,5,14,17,138,13,3,1060,6,0,0,,,000066,,member_to_leader,138,138,1
4847,3,RX,1,5,19,1,161,10,0,2083,,,,,,000066,,leader_to_rsu,161,161,1
4972,3,TX,5,5,5,1,178,11,0,2083,0,0,0,,,000066,,leader_to_rsu,178,178,1
4973,3,TX,20,5,20,2,171,8,2,4,14,0,0,,,000066,,member_to_leader,171,171,1
4996,3,RX,1,5,5,1,178,11,0,2083,,,,,,000066,,leader_to_rsu,178,178,1
5024,3,RX,2,5,20,2,171,8,2,4,,,,,,000066,,member_to_leader,171,171,1
5025,3,TX,21,5,21,12,173,8,2,4,14,0,0,,,000066,,member_to_leader,173,173,1
5026,3,TX,14,5,14,17,138,14,2,8,7,0,0,,,000066,,member_to_leader,138,138,1
5069,3,RX,12,5,21,12,173,8,2,4,,,,,,000066,,member_to_leader,173,173,1
5072,3,RX,17,5,14,17,138,14,2,8,,,,,,000066,,member_to_leader,138,138,1
5180,4,TX,5,5,5,1,195,12,0,2083,1,0,0,,,000068,,leader_to_rsu,195,195,1
5181,4,TX,3,5,3,21,189,3,0,2691,1,0,0,,,000068,,member_to_leader,189,189,1
5182,4,TX,16,5,16,1,201,12,0,2083,15,0,0,,,000068,,leader_to_rsu,201,201,1
5183,4,TX,19,5,19,14,212,2,0,2083,1,0,0,,,000068,,member_to_leader,212,212,1
5184,4,TX,2,5,2,20,202,3,0,1603,13,0,0,,,000068,,member_to_leader,202,202,1
5185,4,TX,12,5,12,1,219,3,0,2083,3,0,0,,,000068,,leader_to_rsu,219,219,1
5186,4,TX,16,5,16,5,194,3,0,3094,0,0,0,,,000068,,member_to_leader,194,194,1
5248,4,TX,2,5,2,1,188,9,0,2083,12,0,0,,,000068,,leader_to_rsu,188,188,1
5249,4,TX,21,5,21,3,210,3,0,3123,2,0,0,,,000068,,member_to_leader,210,210,1
5250,4,TX,20,5,20,2,198,9,1,4069,15,0,0,,,000068,,member_to_leader,198,198,1
5251,4,TX,17,5,17,1,184,3,0,2083,3,0,0,,,000068,,leader_to_rsu,184,184,1
5252,4,TX,9,5,9,1,206,3,0,2083,4,0,0,,,000068,,leader_to_rsu,206,206,1
5346,4,TX,16,5,16,1,208,13,0,2083,1,0,0,,,000068,,leader_to_rsu,208,208,1
5347,4,TX,19,5,19,16,224,3,0,2515,2,0,0,,,000068,,member_to_leader,224,224,1
5348,4,TX,5,5,5,1,204,13,0,2083,2,0,0,,,000068,,leader_to_rsu,204,204,1
5349,4,TX,2,5,2,1,199,10,0,2083,14,0,0,,,000068,,leader_to_rsu,199,199,1
5372,4,TX,3,5,3,1,197,12,0,2083,0,0,0,,,000068,,leader_to_rsu,197,197,1
5373,4,TX,20,5,20,1,196,6,0,2083,0,0,0,,,000068,,leader_to_rsu,196,196,1
5486,4,RX,5,5,16,5,194,3,0,3094,,,,,,000068,,member_to_leader,194,194,1
5503,4,TX,2,5,2,1,217,11,0,2083,15,0,0,,,000068,,leader_to_rsu,217,217,1
5504,4,TX,5,5,5,1,215,14,0,2083,4,0,0,,,000068,,leader_to_rsu,215,215,1
5505,4,TX,14,5,14,17,183,15,1,4069,9,0,0,,,000068,,member_to_leader,183,183,1
5506,4,TX,13,5,13,4,185,3,0,2403,6,0,0,,,000068,,member_to_leader,185,185,1
5628,4,TX,5,5,5,16,200,5,0,3926,3,0,0,,,000068,,member_to_leader,200,200,1
5629,4,TX,21,5,21,1,190,3,0,2083,1,0,0,,,000068,,leader_to_rsu,190,190,1
5630,4,TX,20,5,20,1,203,7,0,2083,2,0,0,,,000068,,leader_to_rsu,203,203,1
5631,4,TX,3,5,3,1,209,13,0,2083,2,0,0,,,000068,,leader_to_rsu,209,209,1
5632,4,TX,14,5,14,1,213,3,0,2083,8,0,0,,,000068,,leader_to_rsu,213,213,1
5633,4,TX,4,5,4,1,186,9,0,2083,9,0,0,,,000068,,leader_to_rsu,186,186,1
5712,4,TX,21,5,21,12,218,9,1,4069,15,0,0,,,000068,,member_to_leader,218,218,1
5713,4,TX,9,5,9,19,192,1,0,899,5,0,0,,,000068,,member_to_leader,192,192,1
5714,4,TX,4,5,4,1,191,10,0,2083,10,0,0,,,000068,,leader_to_rsu,191,191,1
5715,4,TX,13,5,13,1,187,3,0,2083,7,0,0,,,000068,,leader_to_rsu,187,187,1
5825,4,TX,19,5,19,1,193,12,0,2083,3,0,0,,,000068,,leader_to_rsu,193,193,1
5969,4,TX,3,5,3,1,211,14,0,2083,3,0,0,,,000068,,leader_to_rsu,211,211,1
6079,4,TX,21,5,21,12,218,10,3,2334,0,0,0,,,000068,,member_to_leader,218,218,1
6080,4,TX,5,5,5,1,221,15,0,2083,5,0,0,,,000068,,leader_to_rsu,221,221,1
6081,4,TX,20,5,20,2,216,10,3,705,1,0,0,,,000068,,member_to_leader,216,216,1
6082,4,TX,16,5,16,1,225,14,0,2083,2,0,0,,,000068,,leader_to_rsu,225,225,1
6169,4,RX,1,5,19,1,193,12,0,2083,,,,,,000068,,leader_to_rsu,193,193,1
6173,4,TX,14,5,14,17,183,16,3,4069,10,0,0,,,000068,,member_to_leader,183,183,1
6259,4,RX,1,5,3,1,211,14,0,2083,,,,,,000068,,leader_to_rsu,211,211,1
6273,4,TX,3,5,3,1,223,15,0,2083,4,0,0,,,000068,,leader_to_rsu,223,223,1
6274,4,TX,19,5,19,1,205,13,0,2083,4,0,0,,,000068,,leader_to_rsu,205,205,1
6317,4,TX,19,5,19,1,207,14,0,2083,5,0,0,,,000068,,leader_to_rsu,207,207,1
6338,4,RX,17,5,14,17,183,16,3,4069,,,,,,000068,,member_to_leader,183,183,1
6341,4,TX,16,5,16,1,227,15,0,2083,3,0,0,,,000068,,leader_to_rsu,227,227,1
6342,4,TX,4,5,4,1,222,11,0,2083,11,0,0,,,000068,,leader_to_rsu,222,222,1
6383,4,RX,1,5,3,1,223,15,0,2083,,,,,,000068,,leader_to_rsu,223,223,1
6431,4,RX,1,5,19,1,205,13,0,2083,,,,,,000068,,leader_to_rsu,205,205,1
6472,4,RX,1,5,19,1,207,14,0,2083,,,,,,000068,,leader_to_rsu,207,207,1
6477,4,TX,14,5,14,17,183,17,3,4069,13,0,0,,,000068,,member_to_leader,183,183,1
6520,4,TX,19,5,19,1,220,15,0,2083,6,0,0,,,000068,,leader_to_rsu,220,220,1
6521,4,RX,17,5,14,17,183,17,3,4069,,,,,,000068,,member_to_leader,183,183,1
6544,4,RX,1,5,19,1,220,15,0,2083,,,,,,000068,,leader_to_rsu,220,220,1
6550,4,TX,14,5,14,17,183,18,3,1060,12,0,0,,,000068,,member_to_leader,183,183,1
6573,4,RX,17,5,14,17,183,18,3,1060,,,,,,000068,,member_to_leader,183,183,1
6574,4,TX,20,5,20,2,216,11,2,4,3,0,0,,,000068,,member_to_leader,216,216,1
6575,4,TX,21,5,21,12,218,11,2,4,3,0,0,,,000068,,member_to_leader,218,218,1
6598,4,RX,2,5,20,2,216,11,2,4,,,,,,000068,,member_to_leader,216,216,1
6621,4,RX,12,5,21,12,218,11,2,4,,,,,,000068,,member_to_leader,218,218,1
6622,4,TX,14,5,14,17,183,19,2,8,14,0,0,,,000068,,member_to_leader,183,183,1
6645,4,RX,17,5,14,17,183,19,2,8,,,,,,000068,,member_to_leader,183,183,1
6753,5,TX,14,5,14,17,228,20,1,4069,15,0,0,,,000070,,member_to_leader,228,228,1
6754,5,TX,2,5,2,20,246,4,0,1603,1,0,0,,,000070,,member_to_leader,246,246,1
6755,5,TX,21,5,21,3,256,4,0,3155,4,0,0,,,000070,,member_to_leader,256,256,1
6756,5,TX,19,5,19,16,271,4,0,2627,7,0,0,,,000070,,member_to_leader,271,271,1
6799,5,TX,4,5,4,1,231,12,0,2083,12,0,0,,,000070,,leader_to_rsu,231,231,1
6800,5,TX,5,5,5,16,244,6,0,1955,7,0,0,,,000070,,member_to_leader,244,244,1
6801,5,TX,13,5,13,1,232,4,0,2083,9,0,0,,,000070,,leader_to_rsu,232,232,1
6802,5,TX,9,5,9,1,249,4,0,2083,6,0,0,,,000070,,leader_to_rsu,249,249,1
6823,5,RX,17,5,14,17,228,20,1,4069,,,,,,000070,,member_to_leader,228,228,1
6826,5,TX,21,5,21,12,265,12,1,4069,6,0,0,,,000070,,member_to_leader,265,265,1
6827,5,TX,19,5,19,9,248,0,0,2211,10,0,0,,,000070,,member_to_leader,248,248,1
6828,5,TX,16,5,16,1,245,16,0,2083,6,0,0,,,000070,,leader_to_rsu,245,245,1
6829,5,TX,9,5,9,14,252,0,1,4069,7,0,0,,,000070,,member_to_leader,252,252,1
6830,5,TX,12,5,12,1,266,4,0,2083,4,0,0,,,000070,,leader_to_rsu,266,266,1
6869,5,RX,20,5,2,20,246,4,0,1603,,,,,,000070,,member_to_leader,246,246,1
6879,5,TX,21,5,21,12,265,13,3,2334,7,0,0,,,000070,,member_to_leader,265,265,1
6880,5,TX,19,5,19,14,258,3,0,2035,8,0,0,,,000070,,member_to_leader,258,258,1
6881,5,TX,14,5,14,17,228,21,3,4069,1,0,0,,,000070,,member_to_leader,228,228,1
